,i_i_glide_lignum,r_i_docking_score,SMILES
0,13477,-13.1268,C[C@@H](NC(=O)N1C[C@H](c2ccccc2)[C@H]2COCC[C@H]21)c1ccc(NC(=O)NC2CC2)cc1
1,516,-12.6629,O=C(Nc1cccc(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)c1)[C@@H]1Cc2ccccc2O1
2,9425,-12.487,Cc1nn(-c2ccccc2)c2nc(C(=O)N3CCC([C@H]4C(=O)Nc5ccccc54)CC3)ccc12
3,14512,-12.4835,Cc1cc(C)cc(C(=O)N2CCC[C@H](C(=O)NCc3cccc([C@@]4(C)NC(=O)NC4=O)c3)C2)c1
4,9615,-12.4785,CS(=O)(=O)c1ccc(F)c(C(=O)Nc2ccc(-c3nc(-c4ccccc4)n[nH]3)cc2)c1
5,12019,-12.3322,O=C1Nc2ccccc2[C@@H]1C1CCN(C(=O)c2cccc(N3C(=O)c4ccccc4C3=O)c2)CC1
6,2689,-12.1874,NC(=O)[C@H]1CCCN(c2ccc(C(=O)N3CCC(c4cc5ccccc5[nH]4)CC3)cc2)C1
7,6330,-12.1792,Cn1c(=O)[nH]c2ccc(C(=O)NCC[C@H]3CN(c4ncnc5[nH]ncc45)c4ccccc43)cc21
8,7261,-12.0921,O=C(NCC(=O)N1CCc2ccccc2C1)[C@@H]1C[C@H](O)CN1C(=O)OCc1ccccc1
9,14012,-12.0323,C#Cc1cc(F)c(NC(=O)C(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)c(F)c1
10,4138,-11.9436,Nc1nccc([C@H]2CCCN(C(=O)c3cccc(NS(=O)(=O)c4ccc(F)c(F)c4)c3)C2)n1
11,14123,-11.9141,O=C(Nc1cccc(Cn2nc3ccccn3c2=O)c1)N1CCC[C@H](c2cc3ccccc3[nH]2)C1
12,1799,-11.822,Cc1cc(-c2cc(C(=O)NCc3cccc([C@]4(C)NC(=O)NC4=O)c3)c3c(C)noc3n2)c(C)o1
13,19451,-11.7789,O=C(c1ccc2c(c1)CCCC2)N1CCCC[C@H]1c1nc(=O)[nH][nH]1
14,1790,-11.7684,O=C1Nc2ccccc2O[C@H]1CC(=O)N1CCC(c2c[nH]c3ncccc23)CC1
15,5180,-11.7679,C[C@H](NC(=O)N[C@@H](CO)C[C@@H](O)C(C)(C)C)c1ccc(-c2ccncc2)cc1
16,11323,-11.7604,O=C1O[C@H](c2ccccc2)Cc2cc(C(=O)N3CC[C@H](c4ccccc4F)C3)ccc21
17,2934,-11.737,O=C(NC[C@@H]1CCC[C@@]12NC(=O)NC2=O)Nc1ccn(-c2cccc(C(F)(F)F)c2)n1
18,17571,-11.712,O=C([C@H]1CCCc2ccccc21)N1CCC(c2c[nH]c3ncccc23)CC1
19,14692,-11.6641,C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1ccc(NC(=O)c2ccncc2)cc1
20,20514,-11.6553,C[C@@](O)(CCc1ccccc1)C(=O)NCc1nc(-c2ccccn2)n[nH]1
21,9570,-11.6368,NC(=O)C1(c2ccccc2)CCN(C(=O)N[C@@H]2CCN(c3ccc(Cl)c(F)c3)C2)CC1
22,14733,-11.6328,O=C1CCCc2cc(C(=O)N3C[C@@H](c4ccccc4)[C@@H]4CCC[C@H]43)ccc2N1
23,7427,-11.5004,CNc1cccc(-c2cn(Cc3cc(C(F)(F)F)nn3C)nn2)c1
24,2917,-11.4982,C[C@@H]1Cc2c(C(=O)N3CCC(c4c[nH]c5ncccc45)CC3)n[nH]c2[C@@H](C)O1
25,12155,-11.4895,COc1ccc(-c2noc(-c3ccc(NC(=O)c4cc(F)cc(F)c4)cc3O)n2)cn1
26,1913,-11.4503,Cc1cc(-c2noc(CCC(=O)N3CCC[C@H]3C[C@H](O)c3ccc(F)cc3)n2)ccc1F
27,2684,-11.4405,O=C(NC[C@H](O)c1cccc(Cl)c1)c1c[nH]nc1-c1c(F)cccc1F
28,1912,-11.4212,Cc1cc(-c2noc(CCC(=O)N3CCC[C@@H]3C[C@H](O)c3ccc(F)cc3)n2)ccc1F
29,3247,-11.4158,NS(=O)(=O)c1cccc(CNC(=O)NCc2cn(Cc3ccccc3)nc2-c2ccccc2)c1
30,8437,-11.3983,O=C(N[C@@H](Cc1ccccc1)C(=O)N1CCCC1)[C@@H](O)[C@@H](O)c1nc2ccccc2s1
31,6764,-11.348,O=C(Nc1ccc(C(=O)N2CCCCCC2)cc1)c1cn([C@H]2CCOC2)nn1
32,3991,-11.3452,CC(=O)Nc1ccc(NC(=O)c2ccoc2CN2c3ccccc3C[C@H]2C)cc1
33,17237,-11.3184,O=C(N[C@H]1CCO[C@@H]1c1ccc(Cl)c(F)c1)[C@@H]1C[C@@H]1c1c(F)cccc1F
34,14260,-11.2984,Cc1nc([C@H](NC(=O)[C@H]2C[C@H]2c2ccc(C(F)(F)F)cc2)c2ccccc2)n[nH]1
35,5571,-11.2869,O=C([C@@H]1C[C@@H]2CC[C@H]1O2)N1CCC(c2nc(=O)[nH][nH]2)CC1
36,5162,-11.2821,C[C@@H]1Cc2ccccc2N1C1CCN(C(=O)[C@H]2CCCN(C(=O)c3ccc4[nH]ncc4c3)C2)CC1
37,1678,-11.2723,C[C@@H](NC(=O)C(Cc1ccccc1)Cc1ccccc1)c1ccc2c(c1)CC(=O)N2
38,10455,-11.2648,O=C(c1ccnn1C1CCCC1)N1CCC(c2c[nH]c3ccccc23)CC1
39,1484,-11.2497,O=C(NCc1noc2c1CCCC2)N[C@H]1CCCN(Cc2ccc(F)cc2F)C1=O
40,10841,-11.2464,O=C1Cc2cc(CCCC(=O)Nc3ccccc3N3CCCC3=O)ccc2N1
41,7121,-11.2327,C[C@@](O)(CNC(=O)[C@@H]1CCCN(C(=O)Cc2ccccc2)C1)c1ccc(F)cc1
42,17648,-11.222,C[C@@H](CO)NC(=O)Nc1cnc(-c2cccc(C(F)(F)F)c2)cn1
43,16897,-11.2179,O=C1NCc2c(NC(=O)N3CCCC4(CCCCC4)CC3)cccc21
44,6047,-11.2151,O=C(CCc1nc2cccnc2[nH]1)N(Cc1ccccc1)C[C@@H](O)c1ccccc1
45,11385,-11.208,Cc1ccc2c(c1)C(=O)N(CCCC(=O)N1CCC(C(=O)NCc3ccc(F)cc3)CC1)C2=O
46,14590,-11.2021,O=C([C@@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1)N1CCC[C@@H](O)CC1
47,5609,-11.1936,Cc1cc(NC(=O)c2nn(C)c3ccccc23)ccc1NC(=O)c1cnc2n1CCC2
48,19671,-11.1783,Cc1cccc(-c2cccc(C(=O)N3C[C@H](CO)[C@@H](CO)C3)c2)c1
49,7878,-11.1572,CCOc1ccccc1C(=O)N1CCC[C@@H]1C(=O)NCc1nc2ccccc2n1CC
50,11524,-11.1544,O=C(NCc1ccc(C(=O)N2CCc3c(nc[nH]c3=O)C2)cc1)OCc1ccccc1
51,5891,-11.1425,O=C(N[C@H]1CCc2ccc(F)cc21)c1c[nH]nc1-c1ccccc1
52,19345,-11.1258,CNc1ccc(C(=O)NCc2cccc(N3CCOCC3)c2)cn1
53,11161,-11.1157,Cc1cc(C)c(N2C[C@@H](C(=O)NCc3ccnc(-n4ccnc4)c3)CC2=O)c(C)c1
54,10716,-11.1015,O=C1CCCc2cc(C(=O)N(CCCO)Cc3cccc(Cl)c3)ccc2N1
55,16729,-11.094,O=C1Nc2ccccc2[C@@H]1C1CCN(C(=O)[C@@H]2CC(=O)N(c3ccc4c(c3)CCC4)C2)CC1
56,16649,-11.0609,C[C@@H](NC(=O)[C@@H]1CCCN1C(=O)Cc1ccccc1)c1cccc(O)c1
57,1917,-11.0411,Cc1n[nH]c(-c2ccc(NC(=O)CN3C(=O)N[C@](C)(c4ccc5ccccc5c4)C3=O)cc2)n1
58,8938,-11.0161,COc1cccc(CNC(=O)N2CCC(C(=O)NCc3ccc(F)cc3)CC2)c1
59,16406,-11.0029,COc1cccc(C(=O)NCC(=O)N2CCC(c3c[nH]c4ncccc34)CC2)c1
60,7071,-10.9909,C[C@@H](NC(=O)c1c[nH]nc1-c1cccnc1)c1ccc(Cl)cc1
61,18584,-10.9825,CC(C)[C@@H](O)CC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1
62,7082,-10.9817,O=C(Cc1ccc(O)cc1)N1CCC[C@@H]1C[C@H](O)c1ccccc1
63,8367,-10.9713,C[C@](O)(CCc1ccccc1)C(=O)N[C@@H]1CCCOc2ccccc21
64,1846,-10.9658,NC(=O)[C@H](Sc1nc2c(cnn2-c2cccc(Cl)c2)c(=O)[nH]1)c1ccc(F)cc1
65,5908,-10.9656,O=C(O[C@H]1CCN(c2ccccc2Cl)C1=O)c1n[nH]c(=O)c2ccccc12
66,16240,-10.9647,Cc1ccc(-c2cc(C(=O)NC[C@H]3CCC[C@]34NC(=O)NC4=O)c3c(C)noc3n2)cc1
67,10452,-10.963,O=C(Cc1c[nH]c2ccc(F)cc12)N[C@H]1CCCN(Cc2ccc(F)cc2F)C1=O
68,2112,-10.9524,COc1ccc([C@H]2CCCN2C(=O)Nc2cc(C(F)(F)F)ccc2N2CCOCC2)cc1OC
69,5971,-10.9386,NC(=O)NC[C@H]1CCCN(C(=O)NCc2ccccc2Oc2ccccc2)C1
70,2852,-10.9348,O=C1Cc2cc(CCCc3nc(-c4ccc(F)cc4)no3)ccc2N1
71,7698,-10.9235,O=C1NCCN(C(=O)c2cc(C3CC3)on2)[C@H]1c1ccc(C(F)(F)F)cc1
72,12855,-10.9225,Cc1ccc(NC(=O)CCn2c(=O)[nH]c(=O)c3ccccc32)cc1NS(=O)(=O)c1ccccc1
73,2412,-10.9221,C[C@@H](C(=O)NCc1ccc(C(=O)N2CCOCC2)cc1)N1CCc2ccccc21
74,10879,-10.9128,Cc1c[nH]c(=O)n1-c1cccc(C(=O)N2CCc3c(ncn3-c3ccc(F)cc3)C2)c1
75,1762,-10.9,C[C@H]1Cc2c(C(=O)N3CCc4[nH]nc(C(F)(F)F)c4C3)n[nH]c2[C@@H](C)O1
76,2111,-10.8949,COc1ccc([C@@H]2CCCN2C(=O)Nc2cc(C(F)(F)F)ccc2N2CCOCC2)cc1OC
77,12117,-10.892,c1ccc2c(c1)OCC[C@@H]2c1nc(-c2ccc3[nH]cnc3c2)no1
78,18568,-10.8847,C[C@H](Nc1nc(-c2cccnc2)nc2c1CCC2)c1cccc(S(N)(=O)=O)c1
79,1373,-10.8836,COc1ccc2cc(C(=O)N3CCC(O)(Cc4ccncc4)CC3)c(C)nc2c1
80,12101,-10.8646,O=C(NC[C@H]1C[C@@H]1c1ccccc1)[C@@H]1CC(=O)N(c2ccccc2)C1
81,3926,-10.8641,O=C(NCc1ccc2c(n1)CCCC2)C1CCN(C(=O)N2CCCC2)CC1
82,20139,-10.8618,Cc1cc(F)ccc1-n1ccc(C(=O)N2CCc3ccccc3[C@H]2CO)n1
83,4428,-10.8571,O=C([C@@H]1CCc2[nH]ncc2C1)N1CCC[C@@H]1c1ccccc1
84,3880,-10.8564,O=C(c1n[nH]c2ccc([N+](=O)[O-])cc12)N1CC[C@H](C(F)(F)F)[C@@H](CO)C1
85,11491,-10.8481,O=C(CC[C@H]1Cc2ccccc2NC1=O)Nc1c(-c2ccccc2)[nH][nH]c1=O
86,11278,-10.8468,O=C(NCc1ccc(F)cc1)C1CCN(C(=O)C2(O)CCCC2)CC1
87,8200,-10.8458,O=C1C[C@@H](C(=O)Nc2c(F)cccc2Oc2ccccc2)c2ccccc2N1
88,11272,-10.843,O=C(NCCN1CCS(=O)(=O)CC1)[C@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1
89,9626,-10.8287,NC(=O)c1cn(CC(=O)N2CCC[C@@H]2c2ccc(F)cc2)c2ccccc12
90,7834,-10.8205,C[C@]1(c2cccc(-c3noc([C@H]4C[C@H]4c4ccc(F)cc4)n3)c2)NC(=O)NC1=O
91,12828,-10.8185,Cn1nc(-c2ccccc2)c2c(NC(=O)[C@H]3C[C@@H]3C(F)F)n[nH]c21
92,12686,-10.8136,C[C@H](C(=O)NS(C)(=O)=O)c1ccc(-c2ccc(O)c(F)c2)c(F)c1
93,18514,-10.8114,O=C(Cc1cccnc1)NCc1cn(-c2ccccc2)nc1-c1ccc(F)cc1
94,4418,-10.8072,Cn1c(-c2n[nH]c(=O)c3ccccc23)nnc1N1CC[C@@H](c2ccc(C(F)(F)F)cc2)C1
95,6895,-10.8044,O=C(NCc1ccc(-c2ccccc2)cc1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccc(F)cc1
96,1027,-10.7957,O=C(CCCc1c[nH]c2ccccc12)N[C@@H]1C[C@H](Cn2ccnc2)C[C@@H]1O
97,8211,-10.7919,COc1ccccc1CN(C[C@H]1CCCO1)C(=O)c1cccc2[nH]c(=O)oc12
98,17160,-10.7857,Cc1nc2c(cc1C(=O)N[C@H](C)c1ccc3c(c1)CCC(=O)N3)c(C)nn2C
99,6383,-10.7851,O=C(NC[C@H](O)c1cccc(Cl)c1)c1c[nH]nc1-c1ccc(Cl)s1
100,15197,-10.7807,COc1cc(CNC(=O)N2CCC[C@H]2Cc2ccccc2)ccc1OCC(N)=O
101,549,-10.7806,O=C(CC[C@@H]1Cc2ccccc2NC1=O)NCc1ccc(-n2ccnc2)nc1
102,14177,-10.7785,Cc1ccc(-c2cc(C(=O)NCc3nncn3-c3ccccc3)c3c(C)noc3n2)cc1
103,15800,-10.77,C[C@H](CCNC(=O)N1CC(C(C)(C)O)C1)c1cccc(C(F)(F)F)c1
104,19320,-10.766,Cc1ccc(CNC(=O)c2cccc(CNC(=O)Nc3ccc4c(c3)CCC(=O)N4C)c2)cc1
105,3312,-10.7654,CCNC(=O)c1ccc(NCc2cccc(C(=O)N3CCCCC3)c2)nc1
106,1282,-10.7603,CC(=O)N1CCc2ccc(S(=O)(=O)Nc3cc(-c4cc(C)cc(C)c4)n[nH]3)cc2CC1
107,7799,-10.7572,Cc1cc(C)cc(C(=O)NCC(=O)N2CCC[C@@H]2c2nc(-c3ccccc3)n[nH]2)c1
108,12995,-10.753,COc1ccccc1NC(=O)Cc1noc([C@@H]2Cc3ccccc3N2C(C)=O)n1
109,6893,-10.7494,O=C(NCc1ccc(-c2ccccc2)cc1)[C@@H]1C[C@H](O)CN1C(=O)c1ccc(F)cc1
110,1401,-10.7464,NC(=O)C1CCN(c2ccccc2NC(=O)[C@@H]2Cc3cc(F)ccc3O2)CC1
111,12666,-10.7444,CC(C)C[C@H](NC(=O)Cc1ccc(-c2ccccc2)cc1)c1nc(-c2nnc[nH]2)no1
112,5432,-10.7421,O=C(c1cc(N2CCNC2=O)ccc1F)N1CCCN(c2ccccc2Cl)CC1
113,5504,-10.7406,C[C@H]1CC[C@@H](O)CN1C(=O)Nc1c(-c2ccccc2)[nH]c2ccccc12
114,19111,-10.74,CNC(=O)C[C@@H]1CN(C(=O)NCCc2ccc(OC)c3ccccc23)C[C@H]1O
115,5887,-10.7397,N#CCCn1cc(C(=O)Nc2ccc(F)c(C(N)=O)c2)c(-c2cccc3ccccc23)n1
116,14088,-10.7359,C[C@H](CNC(=O)c1cccc2[nH]c(=O)oc12)c1cccc(F)c1
117,16978,-10.7325,CNC(=O)c1cc2cc(NC(=O)Cc3c[nH]c4ccccc34)ccc2[nH]1
118,475,-10.7319,CCc1cnccc1CNC(=O)[C@H]1C[C@@H](O)CN1C(=O)Cc1ccccc1F
119,2246,-10.7308,OC[C@H]1CN(Cc2nc(-c3cccc(C(F)(F)F)c3)no2)c2ccccc21
120,6287,-10.7282,CCn1cc(C(=O)NCC2([C@H](O)c3ccccc3)CC2)c2ccccc21
121,10248,-10.7218,O=C(N[C@H]1CCc2[nH]cnc2C1)c1cc(C2CC2)nc2ccccc12
122,1788,-10.7168,CCOc1ccccc1C(=O)N1CCC[C@H]1C(=O)NCCc1ccc(O)cc1
123,15436,-10.7128,Cc1c([C@@H](NC(=O)N[C@H]2CC[C@H](O)CC2)C(C)C)oc2ccccc12
124,9499,-10.7123,Cc1ccc(NC(=O)c2ccc3[nH]c(=O)n(C)c3c2)cc1-c1ncco1
125,17891,-10.7102,Cc1nn(C)c2nc(-c3cccs3)cc(C(=O)NCc3ccccc3Cn3cncn3)c12
126,5942,-10.7092,O=C1CCCc2cc(C(=O)N3CCO[C@@H](c4ccc(F)cc4)C3)ccc2N1
127,161,-10.7089,CC(C)C[C@H]1C[C@H](NC(=O)c2c[nH]nc2-c2ccccc2)CCO1
128,19297,-10.7058,C[C@H](NC(=O)c1c[nH]nc1-c1ccc(Cl)cc1)c1cccc(NS(C)(=O)=O)c1
129,19213,-10.705,O=C(N[C@H]1CCCCC[C@@H]1CO)[C@@H](c1ccccc1)n1cnc2ccccc21
130,8336,-10.7044,O=C(NCC1([C@H](O)c2ccccc2)CC1)c1cc(F)ccc1N1CCOCC1
131,6073,-10.7038,N[C@@H](CNC(=O)C[C@@H](c1ccccc1)C(F)(F)F)c1ccccc1
132,3607,-10.7021,CCc1ccc(-c2ccc(C(=O)N(CC(=O)NC)C[C@H]3CCN(S(C)(=O)=O)C3)o2)cc1
133,13454,-10.6877,Cc1cccc2c(CCN3C(=O)[C@H]4C[C@@H]5CCCC[C@@H]5N4C3=O)c[nH]c12
